ref	title	price_supplier	price	author	category	hero	editor	supplier	ref_editor	ref_supplier	synopsis
BD000001	LE GRAND FOSSÉ	8.11	8.54	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030002	9782864970002	
BD000002	ASTERIX BARBARELLA ET CIE	28.23	29.72	UDERZO		GROENSTEEN	SOMOGY	C.D.I		9782850563898	L'histoire de la BD, qui commence dans les années 1830, a rarement été racontée dans sa continuité, éparpillée qu'elle est entre toutes sortes de dictionnaires et d'études monographiques. Thierry GROENSTEEN, directeur du musée de la bande dessinée d'expression française, des origines à nos jours, s'intéressant tout à la fois aux oeuvres, aux techniques, aux supports et à la sociologie du média. Accompagnée d'une chronologie extrêmement détaillée, cette histoire est détaillée par 120 planches parmi les plus significatives du fonds francophone conservé au Musée de la BD comme celles de BILAL, FRANQUIN, HERGE, MOEBIUS, TARDI, UDERZO, etc... Chacune de ces planches fait l'objet d'un commentaire esthétique.<br>280 pages - Relié - Format 25 x 28
BD000003	LISE A SOUVENT PEUR - T1	11.3	11.89	MAKYO	AVENTURE	GRAINES DE PARADIS	GLÉNAT	HACHETTE	7387475	9782723429498	Pierre Zakhano, jeune écrivain, est interviewé pour la sortie de son premier roman intitulé L'Histoire de Chaque jour. Sous forme de biographie, ce livre raconte l'histoire d'une jeune fille, Lise, l'ayant visiblement beaucoup marqué. Ses souvenirs d'enfance réapparaissent alors. Lise, jeune fille lunatique et renfermée, vit seule avec sa mère et sa grand-mère dans une grande propriété de campagne. Son meilleur ami est Pierre à qui elle confie tout ce qu'elle a sur le coeur. Pour tenter de l'apaiser, il lui propose une petite histoire différente chaque jour, dont celle des Graines de Paradis, révélant que chaque grain de beauté, en fonction de sa position sur le visage, est le signe d'un pouvoir. Celui que possède Lise sur la joue droite lui permet de garder un coeur léger dans toutes les épreuves.
BD000004	CHRONIQUES BANCALES ET TURBULENTES	14.19	14.94	BEAUDOIN		CHRONIQUES BANCALES	AU BORD DES CONTINENTS	HACHETTE	5345004	9782911684159	Une échappée fulgurante dans l'univers poétique et trépident des Bigoudènes iconoclastes de Gérard BEAUDOIN.<br><br>Album 80 pages - Format 27,5 x 21
BD000005	SPECIAL LEADER  - A Paraître			GRATON	AVENTURE		DUPUIS	HACHETTE	5800461	9782870980200	
BD000006	BATMAN ANNEE UN	11.44	12.04	MILLER / MAZZUCCHELLI	FANTASTIQUE	BATMAN	DELCOURT	UNION DISTRIBUTION	F62475	9782840554417	
BD000007	L'ODYSSEE D'ASTERIX	8.11	8.54	GOSCINNY / UDERZO	HUMOUR	ASTERIX	ALBERT RENÉ	HACHETTE	5030010	9782864970040	
BD000008	FROM HELL	42.72	44.97	CAMPBELL / MOORE	THRILLER	FROM HELL	DELCOURT	UNION DISTRIBUTION	F62519		Pour faire face à un chantage concernant la naissance d'un enfant né de l'union inavouable d'un petit-fils de la famille royale et d'une prostituée, la Reine Victoria dépèche son médecin, William Gull, afin de régler ce problème. Celui-ci, tout en suivant les ordres de la Reine, va néanmoins poursuivre ses propres plans. Les meurtres atroces qu'il va commettre à Whitechapel durant l'automne 1888 défrayeront la chronique... Le mystérieux assassin, surnommé Jack l'éventreur, ne sera jamais identifié par la police. Les crimes qu'il commet auront pour Gull/Jack l'éventreur, une portée telle qu'ils provoqueront chez lui des visions terrifiantes d'un XXème siècle froid et inhumain...
BD000009	LES TROIS CHEMINS	8.26	8.69	TRONDHEIM / GARCIA	JEUNESSE	LES TROIS CHEMINS	DELCOURT	UNION DISTRIBUTION	F62538	9782840554615	John Mc Mac, avare notoire, est à la recherche de trois pièces d'or qu'un de ses créanciers lui doit. Roselita, elle, a l'habitude de recevoir tous les matins le pain d'un nuage, jusqu'au jour où il ne lui envoie plus que des pierres. H Deuzio est un petit robot qui a peur de l'eau parce qu'elle pourrait le faire rouiller, et qui voyage en bateau. Ces trois personnages évoluent chacun sur leur propre route. Au gré de leurs aventures, les chemins et les destins vont se croiser et se décroiser.
BD000010	NANA FAIT DES CAUCHEMARS - T1	8.26	8.69	JOHANNA	JEUNESSE	LES PHOSFEES	DELCOURT	UNION DISTRIBUTION			Nana est une petite fille comme les autres. Et comme les autres, Nana fait des cauchemars, mais elle, c'est toutes les nuits. Elle rêve d'une vilaine sorcière qui vient la chercher et lui fait subir mille supplices. Un soir, elle aperçoit des étincelles colorées qui dansent dans un rayon de lumière : ce sont les Phosfées qui l'aideront à combattre les monstres de la nuit...
