ref;auteur;heros;titre;serie;prixPublic;prixEditeur;genre;refEdit;editeur;refFournisseur;fournisseur;resume;;
BD000001;GOSCINNY / UDERZO;ASTERIX;LE GRAND FOSSE;;8.54;8.11;HUMOUR;5030002;ALBERT RENE;9782864970002;HACHETTE;;;
BD000002;UDERZO;GROENSTEEN;ASTERIX BARBARELLA ET CIE;;29.72;28.23;;;SOMOGY;9782850563898;C.D.I;L'histoire de la BD, qui commence dans les années 1830, a rarement été racontée dans sa continuité, éparpillée qu'elle est entre toutes sortes de dictionnaires et d'études monographiques. Thierry GROENSTEEN, directeur du musée de la bande dessinée d'expression française, des origines à nos jours, s'intéressant tout à la fois aux oeuvres, aux techniques, aux supports et à la sociologie du média. Accompagnée d'une chronologie extrêmement détaillée, cette histoire est détaillée par 120 planches parmi les plus significatives du fonds francophone conservé au Musée de la BD comme celles de BILAL, FRANQUIN, HERGE, MOEBIUS, TARDI, UDERZO, etc... Chacune de ces planches fait l'objet d'un commentaire esthétique.<br>280 pages - Relié - Format 25 x 28;;
BD000003;MAKYO;GRAINES DE PARADIS;LISE A SOUVENT PEUR - T1;;11.89;11.3;AVENTURE;7387475;GLENAT;9782723429498;HACHETTE;Pierre Zakhano, jeune écrivain, est interviewé pour la sortie de son premier roman intitulé L'Histoire de Chaque jour. Sous forme de biographie, ce livre raconte l'histoire d'une jeune fille, Lise, l'ayant visiblement beaucoup marqué. Ses souvenirs d'enfance réapparaissent alors. Lise, jeune fille lunatique et renfermée, vit seule avec sa mère et sa grand-mère dans une grande propriété de campagne. Son meilleur ami est Pierre à qui elle confie tout ce qu'elle a sur le coeur. Pour tenter de l'apaiser, il lui propose une petite histoire différente chaque jour, dont celle des Graines de Paradis, révélant que chaque grain de beauté, en fonction de sa position sur le visage, est le signe d'un pouvoir. Celui que possède Lise sur la joue droite lui permet de garder un coeur léger dans toutes les épreuves.;;
BD000004;BEAUDOIN;CHRONIQUES BANCALES;CHRONIQUES BANCALES ET TURBULENTES;;14.94;14.19;;5345004;AU BORD DES CONTINENTS;9782911684159;HACHETTE;Une échappée fulgurante dans l'univers poétique et trépident des Bigoudènes iconoclastes de Gérard BEAUDOIN.<br><br>Album 80 pages - Format 27,5 x 21;;
BD000005;GRATON;;SPECIAL LEADER  - A Paraître;;;;AVENTURE;5800461;DUPUIS;9782870980200;HACHETTE;;;
BD000006;MILLER / MAZZUCCHELLI;BATMAN;BATMAN ANNEE UN;;12.04;11.44;FANTASTIQUE;F62475;DELCOURT;9782840554417;UNION DISTRIBUTION;;;
BD000007;GOSCINNY / UDERZO;ASTERIX;L'ODYSSEE D'ASTERIX;;8.54;8.11;HUMOUR;5030010;ALBERT RENE;9782864970040;HACHETTE;;;
BD000008;CAMPBELL / MOORE;FROM HELL;FROM HELL;;44.97;42.72;THRILLER;F62519;DELCOURT;;UNION DISTRIBUTION;Pour faire face à un chantage concernant la naissance d'un enfant né de l'union inavouable d'un petit-fils de la famille royale et d'une prostituée, la Reine Victoria dépèche son médecin, William Gull, afin de régler ce problème. Celui-ci, tout en suivant les ordres de la Reine, va néanmoins poursuivre ses propres plans. Les meurtres atroces qu'il va commettre à Whitechapel durant l'automne 1888 défrayeront la chronique... Le mystérieux assassin, surnommé Jack l'éventreur, ne sera jamais identifié par la police. Les crimes qu'il commet auront pour Gull/Jack l'éventreur, une portée telle qu'ils provoqueront chez lui des visions terrifiantes d'un XXème siècle froid et inhumain...;;
BD000009;TRONDHEIM / GARCIA;LES TROIS CHEMINS;LES TROIS CHEMINS;;8.69;8.26;JEUNESSE;F62538;DELCOURT;9782840554615;UNION DISTRIBUTION;John Mc Mac, avare notoire, est à la recherche de trois pièces d'or qu'un de ses créanciers lui doit. Roselita, elle, a l'habitude de recevoir tous les matins le pain d'un nuage, jusqu'au jour où il ne lui envoie plus que des pierres. H Deuzio est un petit robot qui a peur de l'eau parce qu'elle pourrait le faire rouiller, et qui voyage en bateau. Ces trois personnages évoluent chacun sur leur propre route. Au gré de leurs aventures, les chemins et les destins vont se croiser et se décroiser.;;
BD000010;JOHANNA;LES PHOSFEES;NANA FAIT DES CAUCHEMARS - T1;;8.69;8.26;JEUNESSE;;DELCOURT;;UNION DISTRIBUTION;Nana est une petite fille comme les autres. Et comme les autres, Nana fait des cauchemars, mais elle, c'est toutes les nuits. Elle rêve d'une vilaine sorcière qui vient la chercher et lui fait subir mille supplices. Un soir, elle aperçoit des étincelles colorées qui dansent dans un rayon de lumière : ce sont les Phosfées qui l'aideront à combattre les monstres de la nuit...;;
BD000011;CHICAULT;ZELIE;ZELIE L'APPRENTIE SORCIERE;;8.69;8.26;JEUNESSE;;DELCOURT;;UNION DISTRIBUTION;;;
BD000012;FLOCH;TINTIN;UNE LECTURE DE TINTIN AU TIBET;;21.04;19.99;AVENTURE;PB2060;PUF;9782130488149;UNION DISTRIBUTION;;;
BD000013;GOSCINNY / UDERZO;ASTERIX;LE FILS D'ASTERIX;;8.54;8.11;HUMOUR;5030028;ALBERT RENE;9782864970118;HACHETTE;;;
BD000014;JODOROWSKY / JANJETOV / BELTRAN;LES TECHNOPERES;COFFRET LES TECHNOPERES - T1 A T3;;38.95;37;;4349643;HUMANOIDES ASSOCIES;;HACHETTE;;;
BD000015;YOSHIMOTO;;KITCHEN;;12.2;11.59;;A731442;GALLIMARD;9782070731442;SODIS;;;
BD000016;YOSHIMOTO;;LEZARD;;15.24;14.48;;37643;RIVAGES;;LE SEUIL;;;
BD000017;LOUSTAL;;V COMME ENGEANCE;;14.94;14.19;;10063;AUTREMENT;;LE SEUIL;;;
BD000018;LOUSTAL;;ARRIERE SAISON;;9.91;9.41;;;ALBIN MICHEL;;HACHETTE;;;
BD000019;GOSCINNY / UDERZO;ASTERIX;ASTERIX CHEZ RAHAZADE;;8.54;8.11;HUMOUR;5030036;ALBERT RENE;9782864970200;HACHETTE;;;
BD000020;SAINT MARC;SAD' CLUB;SAD' CLUB - T1;;18.29;18.29;EROTIQUE;F913;LA MUSARDINE;;LA MUSARDINE;Album illustré Grand Format - Textes à droite et dessins à gauche - Les fantasmes sado-masochistes d'un auteur disciple de Joseph Farel.;;
BD000021;BILAL;;HORS JEU;;18.29;17.6;;9698;AUTREMENT;;LE SEUIL;;;
BD000022;BILAL;;LOS ANGELES - VERSION NORMALE;;18.29;17.6;;6949;AUTREMENT;;LE SEUIL;;;
BD000023;BILAL / CHRISTIN;CORRESPONDANCES DE PIERRE CHRISTIN;LE SARCOPHAGE;;12.96;12.31;;14517;DARGAUD;;MDS;;;
